"Q" "C" "Qworld" "Cworld" "sigma" "N" "score" "pvalue"
"VX" 0.0400724384911471 0.0209821111690099 0.0208230476978664 0.0115789647310228 0.0312774833123796 280 5.03060727088374 4.88928739901867e-07
"VY" 0.0397609859469877 0.0270336612002508 0.0198587551968912 0.0141174246589713 0.0446424818713335 280 4.84135216249547 1.28958598749363e-06
"WC" 0.010340110787984 0.00654121052200417 0.00513010648975838 0.00336985914629686 0.0211945885172227 280 2.50379281861693 0.0122869960337254
"WE" 0.00420058057008319 0.00346832204115166 0.00169501808089471 0.00137480935091114 0.0251460466769543 280 1.39310835255175 0.16358702770943
"WF" 0 0 0.000674493132751486 0.000567902351129547 0 280 -Inf 0
"WH" 0.000182592818015825 0.000158519733997676 0.00161642648140518 0.0013872084744038 0.0019352083984391 280 -10.6241245643566 2.3016147324263e-26
"WM" 0 0 6.43944115941434e-05 5.40522537113276e-05 0 280 -Inf 0
"WQ" 0.00184587011796545 0.00162604135309811 0.00096141298814797 0.000850899229482772 0.0224740897858155 280 0.577136102856549 0.563847517398878
"WU" 3.7593984962406e-05 3.25650406036223e-05 0.000196722389841976 0.000169732417290414 0.000544893902629164 280 -4.21228648236441 2.52798637579039e-05
"WV" 0 0 0.000194450712806611 0.000164333694450042 0 280 -Inf 0
"WY" 0 0 5.17724064310583e-05 4.65046458894608e-05 0 280 -Inf 0
"XA" 0 0 4.87666459879009e-05 4.68727805080269e-05 0 280 -Inf 0
"XE" 0 0 4.0869325305278e-06 3.95249538571499e-06 0 280 -Inf 0
"XQ" 0.000946053238507177 0.000848041149841434 0.000405759121155471 0.000361374910467309 0.00542451774264682 280 1.5012364529545 0.133294414620875
"XW" 0.027578555089084 0.0211421129823862 0.00725120303817138 0.00576508634302046 0.0513147022579343 280 5.01429140188285 5.32292644976452e-07
"XY" 0.000735958667450506 0.000694596809282628 0.000750064243660507 0.000705716699978686 0.00574359085556175 280 -0.0323963467412053 0.974155975838674
"YA" 0.0133340714155088 0.010579347736705 0.0125755656300528 0.0100479592644888 0.0251440758318533 280 0.353635183283267 0.723612303565386
"YE" 5.58035714285714e-05 5.44383646324143e-05 5.47607331549421e-05 5.39557364513022e-05 0.000910541110112384 280 0.0088693569643542 0.992923369795115
"YG" 0 0 1.52741576526675e-07 1.49844413926491e-07 0 280 -Inf 0
"YI" 0 0 1.31615902499636e-05 1.21048122340638e-05 0 280 -Inf 0
"YO" 0.001445333773699 0.00104694823702612 0.00360650144723693 0.00248075381584589 0.00790519492027621 280 -3.03498604580427 0.00240546816067825
"YP" 0.000124031410889802 0.00010436964135502 0.000549054134943363 0.000452679161223564 0.00151974460950684 280 -3.83507400272803 0.000125526494361018
"YQ" 0 0 5.00703984595024e-05 4.79070099170466e-05 0 280 -Inf 0
"YR" 0 0 1.217748704451e-05 1.19715219033284e-05 0 280 -Inf 0
"YU" 0 0 0.000149026438143898 0.000127878174868646 0 280 -Inf 0
"YY" 0 0 7.94479792782313e-07 7.83032030517437e-07 0 280 -Inf 0
